category,gold_sql,id,key_concepts,natural_language,tables_used
channel_comparison,"SELECT 'store' AS channel, SUM(ss_net_paid) AS total_sales, SUM(ss_net_profit) AS total_profit
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.date_dim d ON ss.ss_sold_date_sk = d.d_date_sk WHERE d.d_year = 2001
UNION ALL
SELECT 'web', SUM(ws_net_paid), SUM(ws_net_profit)
FROM samples.tpcds_sf1.web_sales ws
JOIN samples.tpcds_sf1.date_dim d ON ws.ws_sold_date_sk = d.d_date_sk WHERE d.d_year = 2001
UNION ALL
SELECT 'catalog', SUM(cs_net_paid), SUM(cs_net_profit)
FROM samples.tpcds_sf1.catalog_sales cs
JOIN samples.tpcds_sf1.date_dim d ON cs.cs_sold_date_sk = d.d_date_sk WHERE d.d_year = 2001
ORDER BY total_sales DESC",Q001,"multi-channel UNION, date filter, aggregation","Compare net sales and profit across store, web, and catalog channels for 2001","store_sales, web_sales, catalog_sales, date_dim"
return_rate,"SELECT i.i_category,
       COUNT(ss.ss_item_sk)                                                        AS total_sold,
       COUNT(sr.sr_item_sk)                                                        AS total_returned,
       ROUND(COUNT(sr.sr_item_sk)*100.0/NULLIF(COUNT(ss.ss_item_sk),0),2)         AS return_rate_pct
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.item i ON ss.ss_item_sk = i.i_item_sk
LEFT JOIN samples.tpcds_sf1.store_returns sr
  ON ss.ss_item_sk = sr.sr_item_sk AND ss.ss_ticket_number = sr.sr_ticket_number
GROUP BY i.i_category ORDER BY return_rate_pct DESC",Q002,"LEFT JOIN to returns, return rate calc, item dimension",Return rate by item category in the store channel,"store_sales, store_returns, item"
customer_lifetime_value,"WITH all_sales AS (
  SELECT ss_customer_sk AS csk, ss_net_paid AS amt FROM samples.tpcds_sf1.store_sales
  UNION ALL SELECT ws_bill_customer_sk, ws_net_paid FROM samples.tpcds_sf1.web_sales
  UNION ALL SELECT cs_bill_customer_sk, cs_net_paid FROM samples.tpcds_sf1.catalog_sales
)
SELECT c.c_customer_id, c.c_first_name, c.c_last_name, c.c_email_address,
       SUM(a.amt) AS lifetime_value
FROM all_sales a JOIN samples.tpcds_sf1.customer c ON a.csk = c.c_customer_sk
GROUP BY c.c_customer_id, c.c_first_name, c.c_last_name, c.c_email_address
ORDER BY lifetime_value DESC LIMIT 100",Q003,"UNION all channels, customer join, ranking",Top 100 customers by total spend across all three channels,"store_sales, web_sales, catalog_sales, customer"
inventory_analysis,"WITH latest AS (SELECT MAX(inv_date_sk) AS max_sk FROM samples.tpcds_sf1.inventory)
SELECT i.i_product_name, i.i_category, w.w_warehouse_name, inv.inv_quantity_on_hand
FROM samples.tpcds_sf1.inventory inv
JOIN latest ON inv.inv_date_sk = latest.max_sk
JOIN samples.tpcds_sf1.item i ON inv.inv_item_sk = i.i_item_sk
JOIN samples.tpcds_sf1.warehouse w ON inv.inv_warehouse_sk = w.w_warehouse_sk
WHERE inv.inv_quantity_on_hand < 100
ORDER BY inv.inv_quantity_on_hand",Q004,"inventory threshold, latest date filter, warehouse join",Items with stock below 100 units in any warehouse for the latest week,"inventory, item, warehouse, date_dim"
promotion_effectiveness,"SELECT p.p_promo_name, p.p_channel_email, p.p_channel_tv,
       SUM(ws.ws_ext_discount_amt) AS total_discount, COUNT(*) AS transactions
FROM samples.tpcds_sf1.web_sales ws
JOIN samples.tpcds_sf1.promotion p ON ws.ws_promo_sk = p.p_promo_sk
JOIN samples.tpcds_sf1.date_dim d  ON ws.ws_sold_date_sk = d.d_date_sk
WHERE d.d_year = (SELECT MAX(d2.d_year)-1 FROM samples.tpcds_sf1.date_dim d2)
GROUP BY p.p_promo_name, p.p_channel_email, p.p_channel_tv
ORDER BY total_discount DESC LIMIT 20",Q005,"promotion join, discount aggregation, year filter",Top promotions by discount amount in web channel last year,"web_sales, promotion, date_dim"
demographic_sales,"SELECT cd.cd_education_status, cd.cd_gender,
       ROUND(AVG(ss.ss_net_paid),2) AS avg_order_value,
       COUNT(*) AS transaction_count
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.customer_demographics cd ON ss.ss_cdemo_sk = cd.cd_demo_sk
GROUP BY cd.cd_education_status, cd.cd_gender
ORDER BY avg_order_value DESC",Q006,"demographic join, AVG, GROUP BY multi-column",Average order value by education level and gender for store sales,"store_sales, customer_demographics"
year_over_year,"SELECT d.d_year, d.d_qoy AS quarter,
       SUM(ss.ss_net_paid) AS net_sales,
       LAG(SUM(ss.ss_net_paid)) OVER (PARTITION BY d.d_qoy ORDER BY d.d_year) AS prev_year,
       ROUND((SUM(ss.ss_net_paid)-LAG(SUM(ss.ss_net_paid)) OVER (PARTITION BY d.d_qoy ORDER BY d.d_year))
             /NULLIF(LAG(SUM(ss.ss_net_paid)) OVER (PARTITION BY d.d_qoy ORDER BY d.d_year),0)*100,2) AS yoy_pct
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.date_dim d ON ss.ss_sold_date_sk = d.d_date_sk
GROUP BY d.d_year, d.d_qoy ORDER BY d.d_year, quarter",Q007,"LAG window function, YoY comparison, fiscal quarter",Year-over-year store sales growth by quarter,"store_sales, date_dim"
geography,"SELECT ca.ca_state,
       SUM(cs.cs_net_paid)                                          AS total_revenue,
       RANK() OVER (ORDER BY SUM(cs.cs_net_paid) DESC)             AS revenue_rank
FROM samples.tpcds_sf1.catalog_sales cs
JOIN samples.tpcds_sf1.customer_address ca ON cs.cs_bill_addr_sk = ca.ca_address_sk
WHERE ca.ca_country = 'United States'
GROUP BY ca.ca_state ORDER BY revenue_rank",Q008,"address join, state aggregation, RANK window",Rank US states by total catalog sales revenue,"catalog_sales, customer_address"
time_of_day,"SELECT t.t_shift, t.t_am_pm,
       SUM(ss.ss_net_paid) AS total_revenue, COUNT(*) AS transactions
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.time_dim t ON ss.ss_sold_time_sk = t.t_time_sk
GROUP BY t.t_shift, t.t_am_pm ORDER BY total_revenue DESC",Q009,"time dimension join, shift aggregation",Which shift generates the most store sales revenue,"store_sales, time_dim"
brand_performance,"WITH all_sales AS (
  SELECT ss_item_sk AS isk, ss_net_profit AS profit, ss_ext_sales_price AS rev FROM samples.tpcds_sf1.store_sales
  UNION ALL SELECT ws_item_sk, ws_net_profit, ws_ext_sales_price FROM samples.tpcds_sf1.web_sales
  UNION ALL SELECT cs_item_sk, cs_net_profit, cs_ext_sales_price FROM samples.tpcds_sf1.catalog_sales
)
SELECT i.i_brand,
       ROUND(SUM(a.profit)/NULLIF(SUM(a.rev),0)*100,2) AS margin_pct,
       SUM(a.rev) AS total_revenue
FROM all_sales a JOIN samples.tpcds_sf1.item i ON a.isk = i.i_item_sk
GROUP BY i.i_brand HAVING SUM(a.rev)>10000
ORDER BY margin_pct DESC LIMIT 10",Q010,"cross-channel UNION, profit margin, top-N",Top 10 brands by profit margin across all channels,"store_sales, web_sales, catalog_sales, item"
holiday_sales,"SELECT d.d_holiday,
       SUM(ss.ss_net_paid) AS store_sales,
       SUM(ws.ws_net_paid) AS web_sales
FROM samples.tpcds_sf1.date_dim d
LEFT JOIN samples.tpcds_sf1.store_sales ss ON ss.ss_sold_date_sk = d.d_date_sk
LEFT JOIN samples.tpcds_sf1.web_sales   ws ON ws.ws_sold_date_sk = d.d_date_sk
GROUP BY d.d_holiday",Q011,"holiday flag, conditional aggregation, channel split",Compare sales on holidays vs non-holidays by channel,"store_sales, web_sales, date_dim"
income_segment,"SELECT ib.ib_lower_bound, ib.ib_upper_bound,
       ROUND(AVG(ss.ss_net_paid),2) AS avg_purchase,
       COUNT(*)                      AS transactions
FROM samples.tpcds_sf1.store_sales ss
JOIN samples.tpcds_sf1.household_demographics hd ON ss.ss_hdemo_sk   = hd.hd_demo_sk
JOIN samples.tpcds_sf1.income_band            ib ON hd.hd_income_band_sk = ib.ib_income_band_sk
GROUP BY ib.ib_lower_bound, ib.ib_upper_bound
ORDER BY ib.ib_lower_bound",Q012,"two-hop join, income segmentation, AVG",Average store purchase value by household income band,"store_sales, household_demographics, income_band"
